timestamp,pressure_psi,is_spike_event,sensor_id,tank_id
2024-08-08 14:00:00,199.2,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:01:00,201.3,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:02:00,200.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:03:00,202.8,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:04:00,200.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:05:00,200.3,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:06:00,200.7,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:07:00,200.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:08:00,202.5,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:09:00,201.5,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:10:00,201.2,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:11:00,202.0,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:12:00,200.2,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:13:00,199.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:14:00,201.0,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:15:00,199.2,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:16:00,199.3,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:17:00,199.0,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:18:00,199.1,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:19:00,199.1,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:20:00,198.6,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:21:00,198.4,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:22:00,198.8,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:23:00,198.7,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:24:00,197.7,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:25:00,198.4,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:26:00,198.3,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:27:00,198.2,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:28:00,199.5,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:29:00,199.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:30:00,199.8,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:31:00,199.9,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:32:00,200.0,False,TANK_001_PRESSURE,TANK_001
2024-08-08 14:33:00,201.4,False,TANK_001_PRESSURE,TANK_001
